	chr	end	ensemblgene	start	strand
ENSMUSG00000042106	9	107863078	ENSMUSG00000042106	107861422	-1
ENSMUSG00000042109	15	81835142	ENSMUSG00000042109	81820960	1
ENSMUSG00000042111	1	34478753	ENSMUSG00000042111	34475751	-1
ENSMUSG00000042115	1	132235095	ENSMUSG00000042115	132226364	1
ENSMUSG00000042116	4	155859155	ENSMUSG00000042116	155852606	-1
ENSMUSG00000042121	5	114131955	ENSMUSG00000042121	114075155	-1
ENSMUSG00000042133	2	69584356	ENSMUSG00000042133	69552889	1
ENSMUSG00000042138	9	37435921	ENSMUSG00000042138	37400317	1
ENSMUSG00000042148	11	63970294	ENSMUSG00000042148	63853453	-1
ENSMUSG00000042155	2	69666995	ENSMUSG00000042155	69652288	1
ENSMUSG00000042156	14	119162872	ENSMUSG00000042156	119112932	-1
ENSMUSG00000042165	3	92336730	ENSMUSG00000042165	92335339	-1
ENSMUSG00000042167	13	93328893	ENSMUSG00000042167	93282790	-1
ENSMUSG00000042178	7	127844272	ENSMUSG00000042178	127836514	1
ENSMUSG00000042182	1	33946897	ENSMUSG00000042182	33891133	-1
ENSMUSG00000042185	9	31332629	ENSMUSG00000042185	31297488	1
ENSMUSG00000042197	1	33853676	ENSMUSG00000042197	33800626	-1
ENSMUSG00000042198	4	3951046	ENSMUSG00000042198	3938888	1
ENSMUSG00000042202	4	155707797	ENSMUSG00000042202	155685873	1
ENSMUSG00000042207	1	134563023	ENSMUSG00000042207	134487909	1
ENSMUSG00000042208	11	23583639	ENSMUSG00000042208	23514961	-1
ENSMUSG00000042210	9	106324877	ENSMUSG00000042210	106317250	-1
ENSMUSG00000042213	6	116307263	ENSMUSG00000042213	116241183	1
ENSMUSG00000042215	1	33796876	ENSMUSG00000042215	33784565	-1
ENSMUSG00000042216	5	113458652	ENSMUSG00000042216	113391086	-1
ENSMUSG00000042225	X	141749724	ENSMUSG00000042225	141634142	-1
ENSMUSG00000042228	4	3813122	ENSMUSG00000042228	3678115	1
ENSMUSG00000042229	1	134436512	ENSMUSG00000042229	134422386	1
ENSMUSG00000042244	3	91938889	ENSMUSG00000042244	91921890	1
ENSMUSG00000042246	7	118183959	ENSMUSG00000042246	118135064	-1
ENSMUSG00000042254	9	65187887	ENSMUSG00000042254	65172462	1
ENSMUSG00000042271	X	141022688	ENSMUSG00000042271	141009766	1
ENSMUSG00000042272	2	77110936	ENSMUSG00000042272	77010684	-1
ENSMUSG00000042275	13	115226722	ENSMUSG00000042275	115224891	-1
ENSMUSG00000042284	13	115238500	ENSMUSG00000042284	115089632	-1
ENSMUSG00000042292	15	81074958	ENSMUSG00000042292	80896482	-1
ENSMUSG00000042293	9	48407272	ENSMUSG00000042293	48406742	1
ENSMUSG00000042298	11	62219277	ENSMUSG00000042298	62172299	1
ENSMUSG00000042302	11	22292292	ENSMUSG00000042302	21955828	-1
ENSMUSG00000042303	15	80896491	ENSMUSG00000042303	80861966	1
ENSMUSG00000042305	1	134289717	ENSMUSG00000042305	134273835	-1
ENSMUSG00000042308	7	127399294	ENSMUSG00000042308	127375842	1
ENSMUSG00000042312	3	90431888	ENSMUSG00000042312	90421742	1
ENSMUSG00000042320	12	85157533	ENSMUSG00000042320	85133159	-1
ENSMUSG00000042323	14	30843549	ENSMUSG00000042323	30741095	1
ENSMUSG00000042328	5	112526280	ENSMUSG00000042328	112490949	1
ENSMUSG00000042331	11	62113839	ENSMUSG00000042331	61847589	1
ENSMUSG00000042333	4	155013020	ENSMUSG00000042333	155006390	-1
ENSMUSG00000042340	7	127317364	ENSMUSG00000042340	127311908	1
ENSMUSG00000042348	13	114293997	ENSMUSG00000042348	113931041	1
ENSMUSG00000042349	1	131207344	ENSMUSG00000042349	131182080	-1
ENSMUSG00000042350	12	85017674	ENSMUSG00000042350	84964922	-1
ENSMUSG00000042354	14	30741109	ENSMUSG00000042354	30734390	-1
ENSMUSG00000042357	4	127251974	ENSMUSG00000042357	127248602	-1
ENSMUSG00000042359	2	76430991	ENSMUSG00000042359	76236852	1
ENSMUSG00000042363	11	20781056	ENSMUSG00000042363	20773576	-1
ENSMUSG00000042364	13	113755100	ENSMUSG00000042364	113728715	-1
ENSMUSG00000042367	4	127224637	ENSMUSG00000042367	127219028	-1
ENSMUSG00000042369	2	76214112	ENSMUSG00000042369	76200328	1
ENSMUSG00000042377	11	61600777	ENSMUSG00000042377	61574917	1
ENSMUSG00000042380	4	127141602	ENSMUSG00000042380	127137577	1
ENSMUSG00000042389	6	115555589	ENSMUSG00000042389	115521625	1
ENSMUSG00000042390	3	90270714	ENSMUSG00000042390	90200485	1
ENSMUSG00000042396	9	48406599	ENSMUSG00000042396	48400001	-1
ENSMUSG00000042404	3	90187976	ENSMUSG00000042404	90172492	1
ENSMUSG00000042408	4	127018165	ENSMUSG00000042408	126971176	1
ENSMUSG00000042410	2	75761694	ENSMUSG00000042410	75662521	1
ENSMUSG00000042417	13	113127311	ENSMUSG00000042417	113124336	1
ENSMUSG00000042423	7	127090883	ENSMUSG00000042423	127078371	1
ENSMUSG00000042426	13	113105966	ENSMUSG00000042426	113063988	1
ENSMUSG00000042428	15	80099720	ENSMUSG00000042428	80057922	1
ENSMUSG00000042444	9	70564456	ENSMUSG00000042444	70506296	-1
ENSMUSG00000042446	4	126861928	ENSMUSG00000042446	126755732	-1
ENSMUSG00000042447	6	8236274	ENSMUSG00000042447	8209222	1
ENSMUSG00000042460	6	7875687	ENSMUSG00000042460	7844842	1
ENSMUSG00000042462	7	126859881	ENSMUSG00000042462	126856131	-1
ENSMUSG00000042472	12	84390497	ENSMUSG00000042472	84363626	1
ENSMUSG00000042473	X	138654154	ENSMUSG00000042473	138585745	1
ENSMUSG00000042485	14	30603567	ENSMUSG00000042485	30601157	1
ENSMUSG00000042487	9	75373714	ENSMUSG00000042487	75348806	1
ENSMUSG00000042489	4	126487696	ENSMUSG00000042489	126450728	1
ENSMUSG00000042492	7	126807640	ENSMUSG00000042492	126796631	-1
ENSMUSG00000042496	9	31293019	ENSMUSG00000042496	31191834	1
ENSMUSG00000042500	4	126427265	ENSMUSG00000042500	126383334	-1
ENSMUSG00000042501	1	10790170	ENSMUSG00000042501	10394945	-1
ENSMUSG00000042502	7	126795222	ENSMUSG00000042502	126790832	-1
ENSMUSG00000042505	6	7042979	ENSMUSG00000042505	6956004	1
ENSMUSG00000042506	11	61065881	ENSMUSG00000042506	61042611	-1
ENSMUSG00000042507	12	84265655	ENSMUSG00000042507	84195950	-1
ENSMUSG00000042508	5	9211776	ENSMUSG00000042508	9168801	-1
ENSMUSG00000042515	X	138139084	ENSMUSG00000042515	138110791	1
ENSMUSG00000042520	3	89959935	ENSMUSG00000042520	89907447	-1
ENSMUSG00000042523	12	84194272	ENSMUSG00000042523	84161140	1
ENSMUSG00000042524	15	79626737	ENSMUSG00000042524	79608271	-1
ENSMUSG00000042535	15	79605680	ENSMUSG00000042535	79575046	1
ENSMUSG00000042541	6	6578663	ENSMUSG00000042541	6557294	-1
ENSMUSG00000042548	2	153245927	ENSMUSG00000042548	153187749	1
ENSMUSG00000042549	11	60822693	ENSMUSG00000042549	60811743	-1
ENSMUSG00000042557	9	57035650	ENSMUSG00000042557	56979324	1
ENSMUSG00000042558	4	126215496	ENSMUSG00000042558	126209840	-1
ENSMUSG00000042569	11	60751021	ENSMUSG00000042569	60721457	1
ENSMUSG00000042570	10	79391033	ENSMUSG00000042570	79376079	-1
ENSMUSG00000042572	3	89691307	ENSMUSG00000042572	89680923	1
ENSMUSG00000042579	3	89680547	ENSMUSG00000042579	89674818	-1
ENSMUSG00000042590	13	107073466	ENSMUSG00000042590	106930947	-1
ENSMUSG00000042594	5	121975709	ENSMUSG00000042594	121953551	-1
ENSMUSG00000042595	X	135983252	ENSMUSG00000042595	135950343	1
ENSMUSG00000042599	6	39183723	ENSMUSG00000042599	39113557	-1
ENSMUSG00000042604	2	107128847	ENSMUSG00000042604	107120984	1
ENSMUSG00000042605	5	121954556	ENSMUSG00000042605	121849400	1
ENSMUSG00000042606	7	126464549	ENSMUSG00000042606	126461144	1
ENSMUSG00000042607	6	5433022	ENSMUSG00000042607	5383386	1
ENSMUSG00000042608	4	126034822	ENSMUSG00000042608	125997750	1
ENSMUSG00000042613	3	89358259	ENSMUSG00000042613	89344013	1
ENSMUSG00000042616	4	125985988	ENSMUSG00000042616	125952358	1
ENSMUSG00000042622	15	79243276	ENSMUSG00000042622	79230821	1
ENSMUSG00000042626	3	89337334	ENSMUSG00000042626	89325750	1
ENSMUSG00000042628	12	83643996	ENSMUSG00000042628	83593332	-1
ENSMUSG00000042632	15	79212590	ENSMUSG00000042632	79170428	-1
ENSMUSG00000042642	3	89319177	ENSMUSG00000042642	89308311	-1
ENSMUSG00000042647	5	121757001	ENSMUSG00000042647	121734838	-1
ENSMUSG00000042650	11	60449338	ENSMUSG00000042650	60427207	1
ENSMUSG00000042659	7	68398989	ENSMUSG00000042659	68386743	-1
ENSMUSG00000042670	2	105795903	ENSMUSG00000042670	105734983	1
ENSMUSG00000042675	7	126379686	ENSMUSG00000042675	126376127	1
ENSMUSG00000042677	4	125021633	ENSMUSG00000042677	125012216	-1
ENSMUSG00000042682	14	29697619	ENSMUSG00000042682	29690265	1
ENSMUSG00000042684	1	153425791	ENSMUSG00000042684	153378761	-1
ENSMUSG00000042686	1	17168113	ENSMUSG00000042686	17034784	-1
ENSMUSG00000042688	9	75317287	ENSMUSG00000042688	75276344	-1
ENSMUSG00000042699	1	153363406	ENSMUSG00000042699	153331504	-1
ENSMUSG00000042700	12	82498560	ENSMUSG00000042700	82216094	1
ENSMUSG00000042708	1	153328320	ENSMUSG00000042708	153300908	1
ENSMUSG00000042709	11	60309283	ENSMUSG00000042709	60291452	-1
ENSMUSG00000042712	X	135147888	ENSMUSG00000042712	135145828	1
ENSMUSG00000042719	5	121582441	ENSMUSG00000042719	121535999	1
ENSMUSG00000042726	5	121523695	ENSMUSG00000042726	121509788	-1
ENSMUSG00000042734	12	81714331	ENSMUSG00000042734	81678023	1
ENSMUSG00000042737	3	89174386	ENSMUSG00000042737	89166665	1
ENSMUSG00000042742	6	13677965	ENSMUSG00000042742	13625672	-1
ENSMUSG00000042743	13	104278243	ENSMUSG00000042743	104246249	1
ENSMUSG00000042744	5	121506640	ENSMUSG00000042744	121358282	1
ENSMUSG00000042745	2	152579330	ENSMUSG00000042745	152578171	1
ENSMUSG00000042747	3	89157213	ENSMUSG00000042747	89153273	1
ENSMUSG00000042751	1	152995007	ENSMUSG00000042751	152830744	1
ENSMUSG00000042759	7	126188284	ENSMUSG00000042759	126184114	1
ENSMUSG00000042766	3	89153616	ENSMUSG00000042766	89141484	-1
ENSMUSG00000042770	6	135175020	ENSMUSG00000042770	135114520	-1
ENSMUSG00000042772	1	152778397	ENSMUSG00000042772	152712746	-1
ENSMUSG00000042787	9	119294583	ENSMUSG00000042787	119274009	1
ENSMUSG00000042790	9	45818209	ENSMUSG00000042790	45774723	-1
ENSMUSG00000042793	1	135033014	ENSMUSG00000042793	134911039	-1
ENSMUSG00000042804	4	152369794	ENSMUSG00000042804	152358689	1
ENSMUSG00000042807	1	54234327	ENSMUSG00000042807	53846035	-1
ENSMUSG00000042810	6	48396715	ENSMUSG00000042810	48372520	1
ENSMUSG00000042812	8	121814883	ENSMUSG00000042812	121811125	1
ENSMUSG00000042814	2	152529866	ENSMUSG00000042814	152528955	1
ENSMUSG00000042821	2	167384734	ENSMUSG00000042821	167380115	1
ENSMUSG00000042831	7	30013729	ENSMUSG00000042831	30008142	1
ENSMUSG00000042851	2	128860483	ENSMUSG00000042851	128809322	1
ENSMUSG00000042854	2	166641425	ENSMUSG00000042854	166634451	1
ENSMUSG00000042857	13	94495431	ENSMUSG00000042857	94492347	-1
ENSMUSG00000042870	8	75796749	ENSMUSG00000042870	75760333	1
ENSMUSG00000042901	1	183106331	ENSMUSG00000042901	183078134	1
ENSMUSG00000042903	X	100304479	ENSMUSG00000042903	100298134	1
ENSMUSG00000042938	2	146148309	ENSMUSG00000042938	146147467	1
ENSMUSG00000042962	12	84305747	ENSMUSG00000042962	84305105	-1
ENSMUSG00000042978	7	125894188	ENSMUSG00000042978	125848034	1
ENSMUSG00000042992	6	134688150	ENSMUSG00000042992	134616473	1
ENSMUSG00000042997	3	53370753	ENSMUSG00000042997	53356004	-1
ENSMUSG00000043004	14	20027695	ENSMUSG00000043004	19922627	-1
ENSMUSG00000043015	1	52691078	ENSMUSG00000043015	52669862	1
ENSMUSG00000043017	7	16644830	ENSMUSG00000043017	16640415	1
ENSMUSG00000043019	1	151697802	ENSMUSG00000043019	151631122	1
ENSMUSG00000043024	6	108542549	ENSMUSG00000043024	108540566	-1
ENSMUSG00000043059	5	31359647	ENSMUSG00000043059	31356325	-1
ENSMUSG00000043061	12	30641214	ENSMUSG00000043061	30634425	1
ENSMUSG00000043067	9	24414436	ENSMUSG00000043067	24323072	-1
ENSMUSG00000043090	8	70243828	ENSMUSG00000043090	70213976	-1
ENSMUSG00000043099	11	75060345	ENSMUSG00000043099	75055391	-1
ENSMUSG00000043131	6	83320758	ENSMUSG00000043131	83302998	1
ENSMUSG00000043153	12	36739502	ENSMUSG00000043153	36431449	1
ENSMUSG00000043154	9	101128994	ENSMUSG00000043154	100982283	-1
ENSMUSG00000043162	6	57669063	ENSMUSG00000043162	57663561	-1
ENSMUSG00000043183	13	54699103	ENSMUSG00000043183	54651592	1
ENSMUSG00000043190	13	76166838	ENSMUSG00000043190	76149654	-1
ENSMUSG00000043192	8	5691011	ENSMUSG00000043192	5689580	1
ENSMUSG00000043207	4	120955438	ENSMUSG00000043207	120916434	-1
ENSMUSG00000043241	2	6061514	ENSMUSG00000043241	5956280	1
ENSMUSG00000043243	8	72060580	ENSMUSG00000043243	72050292	1
ENSMUSG00000043252	4	15286753	ENSMUSG00000043252	15265831	1
ENSMUSG00000043257	4	133399958	ENSMUSG00000043257	133387698	-1
ENSMUSG00000043259	10	70394566	ENSMUSG00000043259	70276311	1
ENSMUSG00000043262	7	46608275	ENSMUSG00000043262	46572964	-1
ENSMUSG00000043279	5	137145063	ENSMUSG00000043279	137134498	-1
ENSMUSG00000043284	11	60770098	ENSMUSG00000043284	60755278	-1
ENSMUSG00000043295	X	115796880	ENSMUSG00000043295	115796578	1
ENSMUSG00000043300	3	69506293	ENSMUSG00000043300	69481491	-1
ENSMUSG00000043323	5	110596468	ENSMUSG00000043323	110509620	-1
ENSMUSG00000043372	11	103030702	ENSMUSG00000043372	103023255	1
ENSMUSG00000043384	X	134704223	ENSMUSG00000043384	134643482	1
ENSMUSG00000043398	12	72117899	ENSMUSG00000043398	72114750	-1
ENSMUSG00000043411	4	137385848	ENSMUSG00000043411	137321066	1
ENSMUSG00000043415	2	19665394	ENSMUSG00000043415	19662563	1
ENSMUSG00000043419	11	69233467	ENSMUSG00000043419	69231287	1
ENSMUSG00000043421	6	29275445	ENSMUSG00000043421	29272487	1
ENSMUSG00000043432	7	4153373	ENSMUSG00000043432	4150914	-1
ENSMUSG00000043439	11	97520528	ENSMUSG00000043439	97518215	-1
ENSMUSG00000043467	1	160862419	ENSMUSG00000043467	160830492	-1
ENSMUSG00000043483	12	96889832	ENSMUSG00000043483	96889197	-1
ENSMUSG00000043484	5	69619086	ENSMUSG00000043484	69618495	1
ENSMUSG00000043487	12	84158123	ENSMUSG00000043487	84147428	1
ENSMUSG00000043510	5	110987643	ENSMUSG00000043510	110976936	-1
ENSMUSG00000043518	X	160562492	ENSMUSG00000043518	160500065	1
ENSMUSG00000043535	2	29072483	ENSMUSG00000043535	29014193	1
ENSMUSG00000043542	3	7618896	ENSMUSG00000043542	7568543	1
ENSMUSG00000043556	15	26895666	ENSMUSG00000043556	26540545	-1
ENSMUSG00000043572	4	106512479	ENSMUSG00000043572	106508266	1
ENSMUSG00000043587	9	96774722	ENSMUSG00000043587	96705389	-1
ENSMUSG00000043602	11	70663754	ENSMUSG00000043602	70655035	1
ENSMUSG00000043613	9	7455975	ENSMUSG00000043613	7445822	1
ENSMUSG00000043614	5	135107120	ENSMUSG00000043614	135101754	-1
ENSMUSG00000043618	5	90280534	ENSMUSG00000043618	90280088	1
ENSMUSG00000043631	13	49686265	ENSMUSG00000043631	49658286	1
ENSMUSG00000043635	5	90031193	ENSMUSG00000043635	89824946	-1
ENSMUSG00000043644	11	120242016	ENSMUSG00000043644	120239504	1
ENSMUSG00000043671	7	35453879	ENSMUSG00000043671	35384590	-1
ENSMUSG00000043673	12	11201057	ENSMUSG00000043673	11140203	-1
ENSMUSG00000043702	14	26391038	ENSMUSG00000043702	26381113	-1
ENSMUSG00000043716	1	16174886	ENSMUSG00000043716	16171519	-1
ENSMUSG00000043733	5	121329460	ENSMUSG00000043733	121268596	-1
ENSMUSG00000043770	4	43664339	ENSMUSG00000043770	43664043	1
ENSMUSG00000043773	9	121776082	ENSMUSG00000043773	121766289	1
ENSMUSG00000043822	10	80184246	ENSMUSG00000043822	80174944	-1
ENSMUSG00000043831	7	66957078	ENSMUSG00000043831	66872292	1
ENSMUSG00000043866	7	105393568	ENSMUSG00000043866	105388600	-1
ENSMUSG00000043872	4	126954945	ENSMUSG00000043872	126940887	-1
ENSMUSG00000043881	14	79668476	ENSMUSG00000043881	79663951	1
ENSMUSG00000043885	9	15654657	ENSMUSG00000043885	15621034	1
ENSMUSG00000043889	13	81213919	ENSMUSG00000043889	81212803	1
ENSMUSG00000043895	9	20888077	ENSMUSG00000043895	20873657	-1
ENSMUSG00000043903	8	122999389	ENSMUSG00000043903	122985359	1
ENSMUSG00000043909	2	121101888	ENSMUSG00000043909	121023762	-1
ENSMUSG00000043923	9	44329866	ENSMUSG00000043923	44321456	-1
ENSMUSG00000043929	X	93321330	ENSMUSG00000043929	93278205	1
ENSMUSG00000043940	5	102217787	ENSMUSG00000043940	101980822	-1
ENSMUSG00000043943	9	18314291	ENSMUSG00000043943	18233247	-1
ENSMUSG00000043962	4	126096553	ENSMUSG00000043962	126057875	-1
ENSMUSG00000043964	7	127374322	ENSMUSG00000043964	127368987	1
ENSMUSG00000043987	9	45739989	ENSMUSG00000043987	45678244	-1
ENSMUSG00000043998	12	69233544	ENSMUSG00000043998	69230931	1
ENSMUSG00000044005	10	128045873	ENSMUSG00000044005	128030326	1
ENSMUSG00000044017	5	129281663	ENSMUSG00000044017	129173814	1
ENSMUSG00000044018	4	49521093	ENSMUSG00000044018	49512596	-1
ENSMUSG00000044030	7	18740702	ENSMUSG00000044030	18737969	1
ENSMUSG00000044033	2	77000980	ENSMUSG00000044033	76840246	-1
ENSMUSG00000044037	9	110729598	ENSMUSG00000044037	110708938	1
ENSMUSG00000044042	2	113547112	ENSMUSG00000044042	113158081	1
ENSMUSG00000044056	11	32482081	ENSMUSG00000044056	32472751	-1
ENSMUSG00000044066	11	20199429	ENSMUSG00000044066	20177037	-1
ENSMUSG00000044068	11	22926496	ENSMUSG00000044068	22922005	1
ENSMUSG00000044072	11	29976033	ENSMUSG00000044072	29693048	-1
ENSMUSG00000044080	3	90421699	ENSMUSG00000044080	90418341	-1
ENSMUSG00000044083	2	153686671	ENSMUSG00000044083	153621851	1
ENSMUSG00000044098	3	103873952	ENSMUSG00000044098	103821436	1
ENSMUSG00000044122	11	78096589	ENSMUSG00000044122	78084218	1
ENSMUSG00000044134	5	121992695	ENSMUSG00000044134	121987047	1
ENSMUSG00000044141	7	120197698	ENSMUSG00000044141	120196848	1
ENSMUSG00000044145	2	127050200	ENSMUSG00000044145	127028275	-1
ENSMUSG00000044147	12	69420557	ENSMUSG00000044147	69418924	1
ENSMUSG00000044148	X	12539907	ENSMUSG00000044148	12521118	-1
ENSMUSG00000044149	X	36167166	ENSMUSG00000044149	36151193	-1
ENSMUSG00000044150	X	158376077	ENSMUSG00000044150	158309684	1
ENSMUSG00000044155	6	18855750	ENSMUSG00000044155	18848578	1
ENSMUSG00000044164	13	43824421	ENSMUSG00000044164	43769186	1
ENSMUSG00000044167	3	52260642	ENSMUSG00000044167	52175757	1
ENSMUSG00000044197	5	139382170	ENSMUSG00000044197	139363452	1
ENSMUSG00000044211	6	48502024	ENSMUSG00000044211	48501488	-1
ENSMUSG00000044221	5	88824030	ENSMUSG00000044221	88807307	-1
ENSMUSG00000044224	15	10470602	ENSMUSG00000044224	10446842	-1
ENSMUSG00000044229	9	48311325	ENSMUSG00000044229	48073321	1
ENSMUSG00000044231	13	47168326	ENSMUSG00000044231	47166033	-1
ENSMUSG00000044254	4	106321526	ENSMUSG00000044254	106299526	-1
ENSMUSG00000044258	13	61084439	ENSMUSG00000044258	61081969	-1
ENSMUSG00000044285	14	46322457	ENSMUSG00000044285	46321485	1
ENSMUSG00000044303	4	89212890	ENSMUSG00000044303	89192708	-1
ENSMUSG00000044308	2	69854357	ENSMUSG00000044308	69727590	1
ENSMUSG00000044320	2	30693673	ENSMUSG00000044320	30684781	-1
ENSMUSG00000044328	11	77406806	ENSMUSG00000044328	77398925	-1
ENSMUSG00000044330	3	85823377	ENSMUSG00000044330	85823090	1
ENSMUSG00000044337	1	90144473	ENSMUSG00000044337	90131702	1
ENSMUSG00000044339	5	114266279	ENSMUSG00000044339	114261987	-1
ENSMUSG00000044340	1	106321980	ENSMUSG00000044340	106099482	1
ENSMUSG00000044348	X	135939051	ENSMUSG00000044348	135881865	-1
ENSMUSG00000044349	2	158228071	ENSMUSG00000044349	158217558	1
ENSMUSG00000044350	14	77274344	ENSMUSG00000044350	77261640	-1
ENSMUSG00000044367	11	70111890	ENSMUSG00000044367	70107615	-1
ENSMUSG00000044377	4	143338647	ENSMUSG00000044377	143338228	-1
ENSMUSG00000044408	12	54703358	ENSMUSG00000044408	54692177	-1
ENSMUSG00000044434	3	34059612	ENSMUSG00000044434	34059166	-1
ENSMUSG00000044447	14	68170891	ENSMUSG00000044447	67989584	-1
ENSMUSG00000044452	7	35502428	ENSMUSG00000044452	35471768	-1
ENSMUSG00000044456	12	102357114	ENSMUSG00000044456	102249307	1
ENSMUSG00000044465	7	105049261	ENSMUSG00000044465	105020418	-1
ENSMUSG00000044471	6	31197423	ENSMUSG00000044471	31059500	-1
ENSMUSG00000044475	10	59935810	ENSMUSG00000044475	59838627	1
ENSMUSG00000044496	4	148031771	ENSMUSG00000044496	148025352	1
ENSMUSG00000044502	11	31621885	ENSMUSG00000044502	31615181	-1
ENSMUSG00000044522	3	121437134	ENSMUSG00000044522	121428585	-1
ENSMUSG00000044528	3	124118392	ENSMUSG00000044528	124114504	1
ENSMUSG00000044548	12	71366881	ENSMUSG00000044548	71356658	1
ENSMUSG00000044550	X	135569127	ENSMUSG00000044550	135491591	1
ENSMUSG00000044551	14	70396951	ENSMUSG00000044551	70391854	-1
ENSMUSG00000044566	13	38221045	ENSMUSG00000044566	38190028	-1
ENSMUSG00000044573	12	30961588	ENSMUSG00000044573	30943325	-1
ENSMUSG00000044576	5	30323376	ENSMUSG00000044576	30310159	1
ENSMUSG00000044600	8	73324932	ENSMUSG00000044600	73319032	-1
ENSMUSG00000044609	7	42603812	ENSMUSG00000044609	42603024	-1
ENSMUSG00000044617	10	127583218	ENSMUSG00000044617	127575407	1
ENSMUSG00000044627	2	32178087	ENSMUSG00000044627	32168828	-1
ENSMUSG00000044629	11	17029371	ENSMUSG00000044629	17001586	1
ENSMUSG00000044633	10	99258909	ENSMUSG00000044633	99134750	1
ENSMUSG00000044674	5	4808035	ENSMUSG00000044674	4803839	-1
ENSMUSG00000044676	8	110819373	ENSMUSG00000044676	110806378	1
ENSMUSG00000044678	15	74671835	ENSMUSG00000044678	74668723	-1
ENSMUSG00000044700	4	149822501	ENSMUSG00000044700	149799832	-1
ENSMUSG00000044702	7	121732208	ENSMUSG00000044702	121706485	-1
ENSMUSG00000044709	7	19311520	ENSMUSG00000044709	19298871	-1
ENSMUSG00000044712	12	73400823	ENSMUSG00000044712	73333553	1
ENSMUSG00000044715	12	105669282	ENSMUSG00000044715	105651088	1
ENSMUSG00000044730	4	124838449	ENSMUSG00000044730	124830841	1
ENSMUSG00000044734	13	33035168	ENSMUSG00000044734	33026075	-1
ENSMUSG00000044749	11	110142602	ENSMUSG00000044749	110067646	-1
ENSMUSG00000044751	11	55009621	ENSMUSG00000044751	55008927	-1
ENSMUSG00000044757	1	96953653	ENSMUSG00000044757	96952406	1
ENSMUSG00000044768	1	97589799	ENSMUSG00000044768	97534043	-1
ENSMUSG00000044783	1	88205355	ENSMUSG00000044783	88190193	-1
ENSMUSG00000044786	7	28079678	ENSMUSG00000044786	28076209	-1
ENSMUSG00000044791	9	110447701	ENSMUSG00000044791	110361665	1
ENSMUSG00000044792	13	59917624	ENSMUSG00000044792	59903223	-1
ENSMUSG00000044795	11	69286457	ENSMUSG00000044795	69282751	-1
ENSMUSG00000044807	11	50718551	ENSMUSG00000044807	50701913	-1
ENSMUSG00000044813	4	45532470	ENSMUSG00000044813	45423278	-1
ENSMUSG00000044847	11	45835762	ENSMUSG00000044847	45819096	-1
ENSMUSG00000044864	3	38538993	ENSMUSG00000044864	38503408	-1
ENSMUSG00000044876	7	6196810	ENSMUSG00000044876	6175225	1
ENSMUSG00000044881	7	100189576	ENSMUSG00000044881	100186278	1
ENSMUSG00000044894	11	53321658	ENSMUSG00000044894	53318749	-1
ENSMUSG00000044927	6	87958619	ENSMUSG00000044927	87957403	-1
ENSMUSG00000044934	13	64301016	ENSMUSG00000044934	64280832	-1
ENSMUSG00000044937	10	86612708	ENSMUSG00000044937	86541675	1
ENSMUSG00000044949	11	32466687	ENSMUSG00000044949	32405370	1
ENSMUSG00000044950	11	43612318	ENSMUSG00000044950	43572825	1
ENSMUSG00000044952	7	96999420	ENSMUSG00000044952	96981534	1
ENSMUSG00000044968	5	21906394	ENSMUSG00000044968	21867899	-1
ENSMUSG00000044976	9	74190590	ENSMUSG00000044976	74017638	1
ENSMUSG00000044986	15	78290107	ENSMUSG00000044986	78283756	-1
ENSMUSG00000044991	2	132592975	ENSMUSG00000044991	132528851	1
ENSMUSG00000045005	1	64776910	ENSMUSG00000045005	64769717	-1
ENSMUSG00000045007	11	101052613	ENSMUSG00000045007	101046733	1
ENSMUSG00000045031	3	37366857	ENSMUSG00000045031	37361898	-1
ENSMUSG00000045039	7	25065342	ENSMUSG00000045039	25016589	1
ENSMUSG00000045055	10	128613119	ENSMUSG00000045055	128612240	-1
ENSMUSG00000045071	4	59761439	ENSMUSG00000045071	59626211	1
ENSMUSG00000045078	5	143098749	ENSMUSG00000045078	142976648	-1
ENSMUSG00000045092	3	115508721	ENSMUSG00000045092	115504082	-1
ENSMUSG00000045095	6	94260898	ENSMUSG00000045095	93652436	-1
ENSMUSG00000045100	6	94581653	ENSMUSG00000045100	94477312	1
ENSMUSG00000045102	5	34326792	ENSMUSG00000045102	34164523	-1
ENSMUSG00000045103	X	84249747	ENSMUSG00000045103	81992476	1
ENSMUSG00000045106	2	104848249	ENSMUSG00000045106	104698150	1
ENSMUSG00000045107	14	20188602	ENSMUSG00000045107	20125704	-1
ENSMUSG00000045128	8	71350056	ENSMUSG00000045128	71347366	-1
ENSMUSG00000045136	13	34314449	ENSMUSG00000045136	34310731	-1
ENSMUSG00000045140	11	84771111	ENSMUSG00000045140	84767141	-1
ENSMUSG00000045160	6	83337118	ENSMUSG00000045160	83326129	1
ENSMUSG00000045176	11	68952404	ENSMUSG00000045176	68950543	1
ENSMUSG00000045180	X	151552461	ENSMUSG00000045180	151392505	-1
ENSMUSG00000045193	10	80008620	ENSMUSG00000045193	80001819	1
ENSMUSG00000045205	4	11322137	ENSMUSG00000045205	11261315	-1
ENSMUSG00000045210	1	9818607	ENSMUSG00000045210	9788847	-1
ENSMUSG00000045211	14	70820128	ENSMUSG00000045211	70815077	1
ENSMUSG00000045216	1	36145527	ENSMUSG00000045216	36107481	1
